2015-01-27 15:35:12,277 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-27 15:35:12,278 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:35:12,279 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\searchrunner\src\test\resources
2015-01-27 15:35:17,523 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:35:17,525 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-27 15:35:17,527 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:35:17,528 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\searchrunner\src\test\resources
2015-01-27 15:35:38,680 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:35:38,682 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-27 15:35:38,684 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:35:38,685 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\searchrunner\src\test\resources
2015-01-27 15:36:04,047 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:36:04,049 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-01-27 15:36:04,052 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:36:04,053 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\searchrunner\src\test\resources
2015-01-27 15:37:15,343 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:37:15,346 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-27 15:37:15,351 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:37:15,393 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\searchrunner\src\test\resources
2015-01-27 15:42:06,884 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:42:06,886 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-27 15:42:06,889 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:42:06,890 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\searchrunner\src\test\resources
2015-01-27 15:51:51,828 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:51:51,830 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-27 15:51:51,833 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:51:51,836 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\searchrunner\src\test\resources
2015-01-27 15:52:30,564 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:52:30,567 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-27 15:52:30,570 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:52:30,571 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\searchrunner\src\test\resources
2015-01-27 15:54:28,321 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:54:28,324 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-27 15:54:28,326 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 15:54:28,329 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\searchrunner\src\test\resources
2015-01-27 16:19:38,678 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 16:19:39,033 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-27 16:19:39,035 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 16:19:39,038 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\searchrunner\src\test\resources
2015-01-27 16:29:19,315 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 16:29:19,319 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-27 16:29:19,323 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-27 16:29:19,325 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\searchrunner\src\test\resources
2015-01-28 00:09:38,245 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-28 00:09:38,264 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-28 00:09:38,271 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-28 00:09:38,272 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\searchrunner\src\test\resources
2015-01-28 00:21:30,289 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-28 00:21:30,299 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-01-28 00:21:30,302 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-01-28 00:21:30,303 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DarkPrimeSearchRunner\searchrunner\src\test\resources
