127.0.0.1 - - [14/Jul/2015:21:54:40 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:43 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_c98000_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:21:58:43 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_60_dddddd_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:07 -0300] "GET /chromia/faces/pages/inicio.xhtml HTTP/1.1" 200 30682
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:07 -0300] "GET /chromia/faces/javax.faces.resource/theme.css?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:07 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:07 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:07 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:07 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:07 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_gloss-wave_16_121212_500x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:07 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_bbbbbb_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:07 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-hard_15_888888_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:07 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:07 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_666666_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:07 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_aaaaaa_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:07 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_cccccc_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:07 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-hard_55_555555_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:08 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_c98000_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:00:08 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_60_dddddd_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:11 -0300] "GET /chromia/faces/pages/articulo/articulo.xhtml HTTP/1.1" 200 51187
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:11 -0300] "GET /chromia/faces/javax.faces.resource/theme.css?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:11 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:11 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:11 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:11 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:11 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_bbbbbb_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:11 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_gloss-wave_16_121212_500x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:11 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-hard_15_888888_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:11 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_aaaaaa_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:11 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_666666_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:11 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:11 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-hard_55_555555_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:11 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_cccccc_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:12 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_inset-soft_15_121212_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:12 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_c98000_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:12 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_60_dddddd_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:17 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-icons_f29a00_256x240.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:35 -0300] "GET /chromia/faces/pages/articulo/articulo.xhtml HTTP/1.1" 200 51192
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "POST /chromia/faces/pages/articulo/articulo.xhtml HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/faces/login.xhtml HTTP/1.1" 200 6027
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/faces/javax.faces.resource/theme.css?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/faces/javax.faces.resource/dock/dock.css?ln=primefaces&v=4.0 HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/faces/javax.faces.resource/dock/dock.js?ln=primefaces&v=4.0 HTTP/1.1" 200 6861
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/resources/images/t.png HTTP/1.1" 200 36893
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/resources/images/y.png HTTP/1.1" 200 31997
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/resources/images/g.png HTTP/1.1" 200 31429
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/resources/images/git.png HTTP/1.1" 200 33157
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/resources/images/i.png HTTP/1.1" 200 37946
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/resources/images/f.png HTTP/1.1" 200 20104
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-hard_15_888888_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_gloss-wave_16_121212_500x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:01:55 -0300] "GET /chromia/faces/javax.faces.resource/images/ui-bg_highlight-soft_35_adadad_1x100.png?ln=primefaces-vader HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:49 -0300] "GET /chromia/faces/login.xhtml HTTP/1.1" 200 6029
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:49 -0300] "GET /chromia/faces/javax.faces.resource/dock/dock.css?ln=primefaces&v=4.0 HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:49 -0300] "GET /chromia/faces/javax.faces.resource/theme.css?ln=primefaces-vader HTTP/1.1" 200 18294
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:49 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [14/Jul/2015:22:02:49 -0300] "GET /chromia/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 200 53376
